height;avgdepth
269;0,509318
46;0,199481
134;0,593483
50;0,767697
108;0,076525
145;0,095776
39;0,894668
58;0,000000
130;0,715586
141;0,843519
241;0,604245
141;0,782179
115;0,640342
61;0,491356
225;0,445320
239;0,776139
55;0,794184
260;0,549277
213;0,636343
260;0,421248
285;0,379307
245;0,871600
151;0,360279
203;0,799116
105;0,852575
94;0,861904
247;0,490140
179;0,682062
94;0,018368
249;0,665264
34;0,913227
36;0,882650
195;0,424235
59;0,000000
100;0,000000
215;0,567865
52;0,000000
58;0,458849
76;0,000000
46;0,890943
118;0,154258
215;0,420672
152;0,577369
135;0,851617
252;0,358893
247;0,445315
264;0,678777
201;0,580038
227;0,501692
182;0,934573
178;0,105351
70;0,860756
283;0,665812
268;0,424986
149;0,870244
168;0,038558
247;0,621493
178;0,487998
51;0,566772
158;0,553060
266;0,546433
134;0,687037
114;0,035865
169;0,269112
120;0,806878
55;0,000000
54;0,000000
193;0,199018
95;0,867744
152;0,218836
106;0,887075
40;0,753824
170;0,328631
179;0,800840
154;0,577259
238;0,695278
127;0,702936
208;0,251888
167;0,683954
241;0,865754
112;0,520935
206;0,594183
258;0,278418
138;0,091290
41;0,843876
86;0,027442
126;0,774336
235;0,383453
214;0,373167
257;0,633904
274;0,563459
90;0,789269
239;0,407014
272;0,298393
73;0,472280
178;0,881667
204;0,300449
50;0,851706
132;0,871326
235;0,566612
34;0,000000
127;0,391929
95;0,527461
100;0,008177
151;0,869209
125;0,865755
53;0,000000
139;0,241233
37;0,000000
172;0,168107
275;0,556577
180;0,657228
41;0,810512
190;0,702689
225;0,585617
130;0,552707
230;0,406098
134;0,046302
238;0,418977
210;0,833685
161;0,054245
38;0,705268
211;0,451810
220;0,518388
228;0,628699
214;0,320044
117;0,883989
229;0,365048
240;0,275738
83;0,033991
261;0,737906
43;0,891890
242;0,445345
90;0,633805
134;0,081606
112;0,749932
82;0,000000
35;0,000000
169;0,796326
84;0,000000
103;0,816657
64;0,000000
113;0,883100
171;0,216603
76;0,395916
33;0,936480
287;0,299759
201;0,354611
191;0,924814
283;0,628727
81;0,862463
217;0,382120
137;0,574248
249;0,570385
220;0,841200
58;0,905963
275;0,684731
165;0,378910
177;0,731975
37;0,000000
219;0,872222
105;0,750760
252;0,442856
153;0,896056
175;0,310470
120;0,376798
177;0,301774
241;0,593470
192;0,651869
44;0,000000
151;0,716945
87;0,836556
181;0,890704
258;0,818302
124;0,011611
248;0,779589
155;0,783880
135;0,280879
150;0,204207
122;0,826409
264;0,289854
186;0,856633
172;0,576443
66;0,873552
190;0,910666
114;0,813384
227;0,653207
211;0,437188
140;0,799373
154;0,337713
262;0,406733
78;0,356588
81;0,843352
141;0,618304
171;0,813273
183;0,189516
132;0,775752
270;0,388443
96;0,917724
46;0,864477
78;0,197668
171;0,559892
78;0,694523
58;0,000000
283;0,516425
34;0,000000
173;0,110966
269;0,506953
95;0,876595
76;0,000000
268;0,232286
139;0,886521
209;0,889993
197;0,210422
67;0,108389
183;0,369081
197;0,491866
264;0,402846
106;0,138032
207;0,598474
152;0,780742
263;0,567823
236;0,687941
209;0,917065
239;0,322193
92;0,000000
266;0,204482
163;0,372022
264;0,541306
147;0,522848
50;0,000000
72;0,680988
264;0,601964
164;0,011590
259;0,588549
99;0,857814
260;0,433930
273;0,550329
36;0,867287
53;0,412496
150;0,913908
114;0,876858
140;0,670960
194;0,549687
83;0,860908
282;0,492178
189;0,273021
34;0,902636
252;0,463598
270;0,420945
191;0,699275
268;0,415571
259;0,696752
85;0,000000
106;0,809303
212;0,472864
113;0,089445
158;0,182545
213;0,496191
112;0,862849
82;0,000000
226;0,285056
114;0,615507
178;0,556988
