Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;EvaluationTimePerWindowMS;ValueShift;
Corner(Depth);3820;0;3819;0;1.000000;1.000000;0.500065;1.000000;0.666725;0.393376;8.800000;
Corner(Depth);3820;0;3819;0;1.000000;1.000000;0.500065;1.000000;0.666725;0.395078;9.000000;
Corner(Depth);3820;0;3819;0;1.000000;1.000000;0.500065;1.000000;0.666725;0.395340;9.200000;
Corner(Depth);3820;0;3819;0;1.000000;1.000000;0.500065;1.000000;0.666725;0.394554;9.400000;
Corner(Depth);3820;0;3819;0;1.000000;1.000000;0.500065;1.000000;0.666725;0.394423;9.600000;
Corner(Depth);3820;0;3819;0;1.000000;1.000000;0.500065;1.000000;0.666725;0.394292;9.800000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.118602;-10.000000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.115853;-9.800000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.115591;-9.600000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114675;-9.400000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114151;-9.200000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114282;-9.000000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114282;-8.800000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.113366;-8.600000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114151;-8.400000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.115329;-8.200000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.113627;-8.000000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114151;-7.800000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.113366;-7.600000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114151;-7.400000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114413;-7.200000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114675;-7.000000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.113627;-6.800000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114544;-6.600000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114151;-6.400000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.114020;-6.200000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.113758;-6.000000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.113889;-5.800000;
S2HoG(RGB);0;3819;0;3820;0.000000;0.000000;-nan(ind);0.000000;-nan(ind);1.113758;-5.600000;
S2HoG(RGB);0;3818;1;3820;0.000000;0.000262;0.000000;0.000000;-nan(ind);1.114151;-5.400000;
